index_id,index_name,symbol,valid_from,valid_to,weightage,source,source_url,notes
219,"Nifty 100",HDFCLIFE,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",CONCOR,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",DABUR,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",DRREDDY,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",WIPRO,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",M&M,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",NTPC,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",PNB,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",HINDUNILVR,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",HAL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",TATACONSUM,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",TATASTEEL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ASIANPAINT,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",SUNPHARMA,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",TCS,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",LICHSGFIN,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",MARUTI,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",HCLTECH,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",BAJFINANCE,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",PGHH,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",EICHERMOT,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",MGL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ICICIBANK,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",HDFCBANK,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ADANIPORTS,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",AXISBANK,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",CANBK,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",MCDOWELL-N,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",IOC,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",INDUSINDBK,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",BHARTIARTL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",SHREECEM,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",PIDILITIND,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",JSWSTEEL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",BAJAJ-AUTO,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",POWERGRID,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",VEDL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",MARICO,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",OIL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ONGC,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ABFRL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",LICI,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",UNIONBANK,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",COALINDIA,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",BANKBARODA,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",RELIANCE,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",DIVISLAB,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",BERGEPAINT,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",TRENT,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",GAIL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ADANIENT,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",NAUKRI,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",NESTLEIND,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",GODREJCP,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",KOTAKBANK,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",BRITANNIA,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",MANAPPURAM,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",JUBLFOOD,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ZOMATO,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",IDFCFIRSTB,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",BAJAJFINSV,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",HAVELLS,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",IRFC,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",GICRE,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",PAGEIND,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ADANITRANS,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",LT,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",GRASIM,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",SIEMENS,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",INFOSYS,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",ADANIPOWER,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",PFC,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",BHEL,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",HINDPETRO,2022-01-01,,1.0,nse_website,,
219,"Nifty 100",COLPAL,2022-01-01,,1.0,nse_website,,
