symbol,index_name,valid_from,valid_to,isin,sector,exchange,delisted
RANBAXY,Nifty 50,2000-01-01,2014-03-28,,,NSE,False
JPASSOCIAT,Nifty 50,2000-01-01,2014-03-28,,,NSE,False
MCDOWELL-N,Nifty 50,2014-03-28,2014-09-19,,,NSE,False
JINDALSTEL,Nifty 50,2000-01-01,2015-03-27,,,NSE,False
DLF,Nifty 50,2000-01-01,2015-03-27,,,NSE,False
NMDC,Nifty 50,2000-01-01,2015-09-28,,,NSE,False
BHEL,Nifty 50,2000-01-01,2017-03-31,,,NSE,False
IDEA,Nifty 50,2015-03-27,2017-03-31,,,NSE,False
GRASIM,Nifty 50,2000-01-01,2017-05-26,,,NSE,False
GRASIM,Nifty 50,2018-04-02,2099-12-31,,,NSE,False
BANKBARODA,Nifty 50,2000-01-01,2017-09-29,,,NSE,False
TATAPOWER,Nifty 50,2000-01-01,2017-09-29,,,NSE,False
TATAMTRDVR,Nifty 50,2000-01-01,2017-09-29,,,NSE,False
ACC,Nifty 50,2000-01-01,2017-09-29,,,NSE,False
BOSCHLTD,Nifty 50,2000-01-01,2018-04-02,,,NSE,False
AUROPHARMA,Nifty 50,2000-01-01,2018-04-02,,,NSE,False
AMBUJACEM,Nifty 50,2000-01-01,2018-04-02,,,NSE,False
LUPIN,Nifty 50,2000-01-01,2018-09-28,,,NSE,False
HINDPETRO,Nifty 50,2017-09-29,2019-03-29,,,NSE,False
IBULHSGFIN,Nifty 50,2017-03-31,2019-09-27,,,NSE,False
YESBANK,Nifty 50,2015-03-27,2020-03-19,,,NSE,False
YESBANK,Nifty 50,2000-01-01,2020-03-27,,,NSE,False
VEDL,Nifty 50,2017-05-26,2020-07-31,,,NSE,False
ZEEL,Nifty 50,2014-09-19,2020-09-25,,,NSE,False
INFRATEL,Nifty 50,2000-01-01,2020-09-25,,,NSE,False
GAIL,Nifty 50,2000-01-01,2021-03-31,,,NSE,False
IOC,Nifty 50,2017-03-31,2022-03-31,,,NSE,False
SHREECEM,Nifty 50,2020-03-19,2022-09-30,,,NSE,False
HDFC,Nifty 50,2000-01-01,2023-07-13,,,NSE,False
UPL,Nifty 50,2017-09-29,2024-03-28,,,NSE,False
LTIM,Nifty 50,2023-07-13,2024-09-30,,,NSE,False
DIVISLAB,Nifty 50,2020-09-25,2024-09-30,,,NSE,False
BPCL,Nifty 50,2000-01-01,2025-03-28,,,NSE,False
BRITANNIA,Nifty 50,2019-03-29,2025-03-28,,,NSE,False
INDUSINDBK,Nifty 50,2000-01-01,2025-09-30,,,NSE,False
HEROMOTOCO,Nifty 50,2000-01-01,2025-09-30,,,NSE,False
TECHM,Nifty 50,2014-03-28,2099-12-31,,,NSE,False
ADANIPORTS,Nifty 50,2015-09-28,2099-12-31,,,NSE,False
BAJFINANCE,Nifty 50,2017-09-29,2099-12-31,,,NSE,False
TITAN,Nifty 50,2018-04-02,2099-12-31,,,NSE,False
BAJAJFINSV,Nifty 50,2018-04-02,2099-12-31,,,NSE,False
JSWSTEEL,Nifty 50,2018-09-28,2099-12-31,,,NSE,False
NESTLEIND,Nifty 50,2019-09-27,2099-12-31,,,NSE,False
HDFCLIFE,Nifty 50,2020-07-31,2099-12-31,,,NSE,False
SBILIFE,Nifty 50,2020-09-25,2099-12-31,,,NSE,False
TATACONSUM,Nifty 50,2021-03-31,2099-12-31,,,NSE,False
APOLLOHOSP,Nifty 50,2022-03-31,2099-12-31,,,NSE,False
ADANIENT,Nifty 50,2022-09-30,2099-12-31,,,NSE,False
SHRIRAMFIN,Nifty 50,2024-03-28,2099-12-31,,,NSE,False
TRENT,Nifty 50,2024-09-30,2099-12-31,,,NSE,False
BEL,Nifty 50,2024-09-30,2099-12-31,,,NSE,False
JIOFIN,Nifty 50,2025-03-28,2099-12-31,,,NSE,False
ZOMATO,Nifty 50,2025-03-28,2099-12-31,,,NSE,False
MAXHEALTH,Nifty 50,2025-09-30,2099-12-31,,,NSE,False
INDIGO,Nifty 50,2025-09-30,2099-12-31,,,NSE,False
