symbol,index_name,valid_from,valid_to,isin,sector,exchange,delisted
ACC,nifty50,2014-01-01,2017-09-29,INE000000501,,NSE,True
ADANIENT,nifty50,2022-09-30,,INE000000681,,NSE,False
ADANIPORTS,nifty50,2015-09-28,,INE000000701,,NSE,False
AMBUJACEM,nifty50,2014-01-01,2018-04-02,INE000001781,,NSE,True
APOLLOHOSP,nifty50,2022-03-31,,INE000002221,,NSE,False
ASIANPAINT,nifty50,2014-01-01,,INE000002831,,NSE,False
AUROPHARMA,nifty50,2014-01-01,2018-04-02,INE000003141,,NSE,True
AXISBANK,nifty50,2014-01-01,,INE000003441,,NSE,False
BAJAJ-AUTO,nifty50,2014-01-01,,INE000003591,,NSE,False
BAJAJFINSV,nifty50,2018-04-02,,INE000003621,,NSE,False
BAJFINANCE,nifty50,2017-09-29,,INE000003701,,NSE,False
BANKBARODA,nifty50,2014-01-01,2017-09-29,INE000003921,,NSE,True
BEL,nifty50,2024-09-30,,INE000004281,,NSE,False
BHARTIARTL,nifty50,2014-01-01,,INE000004551,,NSE,False
BHEL,nifty50,2014-01-01,2017-03-31,INE000004571,,NSE,True
BOSCHLTD,nifty50,2014-01-01,2018-04-02,INE000005091,,NSE,True
BPCL,nifty50,2014-01-01,2025-03-28,INE000005111,,NSE,True
BRITANNIA,nifty50,2019-03-29,2025-03-28,INE000005201,,NSE,True
CIPLA,nifty50,2014-01-01,,INE000006171,,NSE,False
COALINDIA,nifty50,2014-01-01,,INE000006351,,NSE,False
DIVISLAB,nifty50,2020-09-25,2024-09-30,INE000007961,,NSE,True
DLF,nifty50,2014-01-01,2015-03-27,INE000008021,,NSE,True
DRREDDY,nifty50,2014-01-01,,INE000008231,,NSE,False
EICHERMOT,nifty50,2014-01-01,,INE000008671,,NSE,False
ETERNAL,nifty50,2025-03-28,,INE000009481,,NSE,False
GAIL,nifty50,2014-01-01,2021-03-31,INE000010291,,NSE,True
GRASIM,nifty50,2014-01-01,2017-05-26,INE000011531,,NSE,True
GRASIM,nifty50,2018-04-02,,INE000011531,,NSE,False
HCLTECH,nifty50,2014-01-01,,INE000012521,,NSE,False
HDFC,nifty50,2014-01-01,2023-07-13,,,NSE,True
HDFCBANK,nifty50,2014-01-01,,INE000012551,,NSE,False
HDFCLIFE,nifty50,2020-07-31,,INE000012591,,NSE,False
HEROMOTOCO,nifty50,2014-01-01,2025-09-30,INE000012921,,NSE,True
HINDALCO,nifty50,2014-01-01,,INE000013071,,NSE,False
HINDPETRO,nifty50,2017-09-29,2019-03-29,INE000013151,,NSE,True
HINDUNILVR,nifty50,2014-01-01,,INE000013161,,NSE,False
ICICIBANK,nifty50,2014-01-01,,INE000013611,,NSE,False
IDEA,nifty50,2015-03-27,2017-03-31,INE000013671,,NSE,True
INDIGO,nifty50,2025-09-30,,INE000014101,,NSE,False
INDUSINDBK,nifty50,2014-01-01,2025-09-30,INE000014311,,NSE,True
INDUSTOWER,nifty50,2014-01-01,2020-09-25,INE000014321,,NSE,True
INFY,nifty50,2014-01-01,,INE000014411,,NSE,False
IOC,nifty50,2017-03-31,2022-03-31,INE000014651,,NSE,True
ITC,nifty50,2014-01-01,,INE000014931,,NSE,False
JINDALSTEL,nifty50,2014-01-01,2015-03-27,INE000015461,,NSE,True
JIOFIN,nifty50,2025-03-28,,INE000015491,,NSE,False
JPASSOCIAT,nifty50,2014-01-01,2014-03-28,INE000015661,,NSE,True
JSWSTEEL,nifty50,2018-09-28,,INE000015771,,NSE,False
KOTAKBANK,nifty50,2014-01-01,,INE000016811,,NSE,False
LT,nifty50,2014-01-01,,INE000018051,,NSE,False
