symbol,index_name,valid_from,valid_to,isin,sector,exchange,delisted
ADANIENT,nifty100,2023-01-01,,,Metals & Mining,NSE,False
ADANIPORTS,nifty100,2023-01-01,,,Logistics,NSE,False
APOLLOHOSP,nifty100,2023-01-01,,,Healthcare,NSE,False
ASIANPAINT,nifty100,2023-01-01,,,Consumer,NSE,False
AXISBANK,nifty100,2023-01-01,,,Financial,NSE,False
BAJAJ-AUTO,nifty100,2023-01-01,,,Auto,NSE,False
BAJFINANCE,nifty100,2023-01-01,,,Financial,NSE,False
BAJAJFINSV,nifty100,2023-01-01,,,Financial,NSE,False
BEL,nifty100,2023-01-01,,,Industrials,NSE,False
BHARTIARTL,nifty100,2023-01-01,,,Telecom,NSE,False
CIPLA,nifty100,2023-01-01,,,Pharma,NSE,False
COALINDIA,nifty100,2023-01-01,,,Energy,NSE,False
DRREDDY,nifty100,2023-01-01,,,Pharma,NSE,False
EICHERMOT,nifty100,2023-01-01,,,Auto,NSE,False
ETERNAL,nifty100,2023-01-01,,,Consumer,NSE,False
GRASIM,nifty100,2023-01-01,,,Cement,NSE,False
HCLTECH,nifty100,2023-01-01,,,IT,NSE,False
HDFCBANK,nifty100,2023-01-01,,,Financial,NSE,False
HDFCLIFE,nifty100,2023-01-01,,,Financial,NSE,False
HEROMOTOCO,nifty100,2023-01-01,,,Auto,NSE,False
HINDALCO,nifty100,2023-01-01,,,Metals & Mining,NSE,False
HINDUNILVR,nifty100,2023-01-01,,,Consumer,NSE,False
ICICIBANK,nifty100,2023-01-01,,,Financial,NSE,False
INDUSINDBK,nifty100,2023-01-01,,,Financial,NSE,False
INFY,nifty100,2023-01-01,,,IT,NSE,False
ITC,nifty100,2023-01-01,,,Consumer,NSE,False
JIOFIN,nifty100,2023-01-01,,,Financial,NSE,False
JSWSTEEL,nifty100,2023-01-01,,,Metals & Mining,NSE,False
KOTAKBANK,nifty100,2023-01-01,,,Financial,NSE,False
LT,nifty100,2023-01-01,,,Infra,NSE,False
M&M,nifty100,2023-01-01,,,Auto,NSE,False
MARUTI,nifty100,2023-01-01,,,Auto,NSE,False
NESTLEIND,nifty100,2023-01-01,,,Consumer,NSE,False
NTPC,nifty100,2023-01-01,,,Energy,NSE,False
ONGC,nifty100,2023-01-01,,,Energy,NSE,False
POWERGRID,nifty100,2023-01-01,,,Energy,NSE,False
RELIANCE,nifty100,2023-01-01,,,Energy,NSE,False
SBILIFE,nifty100,2023-01-01,,,Financial,NSE,False
SBIN,nifty100,2023-01-01,,,Financial,NSE,False
SHRIRAMFIN,nifty100,2023-01-01,,,Financial,NSE,False
SUNPHARMA,nifty100,2023-01-01,,,Pharma,NSE,False
TATACONSUM,nifty100,2023-01-01,,,Consumer,NSE,False
TATAMOTORS,nifty100,2023-01-01,,,Auto,NSE,False
TATASTEEL,nifty100,2023-01-01,,,Metals & Mining,NSE,False
TCS,nifty100,2023-01-01,,,IT,NSE,False
TECHM,nifty100,2023-01-01,,,IT,NSE,False
TITAN,nifty100,2023-01-01,,,Consumer,NSE,False
TRENT,nifty100,2023-01-01,,,Consumer,NSE,False
ULTRACEMCO,nifty100,2023-01-01,,,Cement,NSE,False
WIPRO,nifty100,2023-01-01,,,IT,NSE,False
ABB,nifty100,2023-01-01,,,Industrials,NSE,False
ADANIENSOL,nifty100,2023-01-01,,,Energy,NSE,False
ADANIGREEN,nifty100,2023-01-01,,,Energy,NSE,False
AMBUJACEM,nifty100,2023-01-01,,,Cement,NSE,False
BANKBARODA,nifty100,2023-01-01,,,Financial,NSE,False
BDL,nifty100,2023-01-01,,,Defense,NSE,False
BHEL,nifty100,2023-01-01,,,Industrials,NSE,False
BOSCHLTD,nifty100,2023-01-01,,,Auto,NSE,False
BPCL,nifty100,2023-01-01,,,Energy,NSE,False
CANBK,nifty100,2023-01-01,,,Financial,NSE,False
CHOLAFIN,nifty100,2023-01-01,,,Financial,NSE,False
COLPAL,nifty100,2023-01-01,,,Consumer,NSE,False
DABUR,nifty100,2023-01-01,,,Consumer,NSE,False
DIVISLAB,nifty100,2023-01-01,,,Pharma,NSE,False
DLF,nifty100,2023-01-01,,,Realty,NSE,False
DMART,nifty100,2023-01-01,,,Retail,NSE,False
GAIL,nifty100,2023-01-01,,,Other,NSE,False
GLAND,nifty100,2023-01-01,,,Other,NSE,False
GODREJCP,nifty100,2023-01-01,,,Consumer,NSE,False
GODREJPROP,nifty100,2023-01-01,,,Realty,NSE,False
HAL,nifty100,2023-01-01,,,Defense,NSE,False
HAVELLS,nifty100,2023-01-01,,,Consumer,NSE,False
ICICIGI,nifty100,2023-01-01,,,Financial,NSE,False
ICICIPRULI,nifty100,2023-01-01,,,Financial,NSE,False
IDFCFIRSTB,nifty100,2023-01-01,,,Financial,NSE,False
INDHOTEL,nifty100,2023-01-01,,,Hospitality,NSE,False
IOC,nifty100,2023-01-01,,,Other,NSE,False
IRCTC,nifty100,2023-01-01,,,Services,NSE,False
JINDALSTEL,nifty100,2023-01-01,,,Metals & Mining,NSE,False
LODHA,nifty100,2023-01-01,,,Realty,NSE,False
LUPIN,nifty100,2023-01-01,,,Pharma,NSE,False
MARICO,nifty100,2023-01-01,,,Consumer,NSE,False
MAXHEALTH,nifty100,2023-01-01,,,Healthcare,NSE,False
MOTHERSON,nifty100,2023-01-01,,,Auto,NSE,False
NHPC,nifty100,2023-01-01,,,Energy,NSE,False
PERSISTENT,nifty100,2023-01-01,,,IT,NSE,False
PIDILITIND,nifty100,2023-01-01,,,Consumer,NSE,False
PNB,nifty100,2023-01-01,,,Financial,NSE,False
POLYCAB,nifty100,2023-01-01,,,Industrials,NSE,False
RECLTD,nifty100,2023-01-01,,,Financial,NSE,False
SAIL,nifty100,2023-01-01,,,Metals & Mining,NSE,False
SBICARD,nifty100,2023-01-01,,,Financial,NSE,False
SHREECEM,nifty100,2023-01-01,,,Cement,NSE,False
SIEMENS,nifty100,2023-01-01,,,Industrials,NSE,False
TATAPOWER,nifty100,2023-01-01,,,Energy,NSE,False
TORNTPOWER,nifty100,2023-01-01,,,Energy,NSE,False
TVSMOTOR,nifty100,2023-01-01,,,Auto,NSE,False
VBL,nifty100,2023-01-01,,,Consumer,NSE,False
VEDL,nifty100,2023-01-01,,,Metals & Mining,NSE,False
ZYDUSLIFE,nifty100,2023-01-01,,,Pharma,NSE,False
